T,rec_id,converged,num_converged,num_incomplete,num_not_converged,num_hit_maxiter,num_diverged,num_crashed,num_error_should_be_converged,num_no_data,best_N,best_m,best_iter,min_N_converged,min_m_converged,median_iter,converged_T
T20,88,yes,46,0,0,0,0,1,0,2,20,320,440.0,5,5,4308.0,
T20,89,yes,49,0,0,0,0,0,0,0,10,320,196.0,5,5,2787.0,
T20,90,yes,47,0,0,0,0,1,0,1,10,160,480.0,5,5,4601.0,
T20,91,yes,49,0,0,0,0,0,0,0,5,320,213.0,5,5,3500.0,
T20,92,yes,49,0,0,0,0,0,0,0,5,80,283.0,5,5,4319.0,
T20,93,yes,48,0,0,0,0,1,0,0,5,160,251.0,5,5,3508.5,
T20,94,yes,49,0,0,0,0,0,0,0,10,320,206.0,5,5,3046.0,
T20,95,yes,49,0,0,0,0,0,0,0,5,80,218.0,5,5,3849.0,
T20,96,yes,40,0,0,0,7,0,0,2,80,320,497.0,10,5,7997.0,
T20,97,yes,49,0,0,0,0,0,0,0,5,320,231.0,5,5,3323.0,
T20,98,yes,49,0,0,0,0,0,0,0,5,320,251.0,5,5,3168.0,
T20,99,yes,49,0,0,0,0,0,0,0,5,320,146.0,5,5,2627.0,
